Requirement ID,Candidate standard citations,Normative governing citations,Direct or supporting,Result
KBDL-A11Y-001,SC 1.1.1; SC 1.4.5,SC 1.1.1; SC 1.4.5,Direct authority,PASS
KBDL-A11Y-002,SC 1.2.x,SC 1.2.x,Direct authority,PASS
KBDL-A11Y-003,SC 1.3.1; SC 4.1.2,SC 1.3.1; SC 4.1.2,Direct authority,PASS
KBDL-A11Y-004,SC 2.4.2; SC 2.4.6,SC 2.4.2; SC 2.4.6,Direct authority,PASS
KBDL-A11Y-005,SC 1.3.2; SC 2.4.3,SC 1.3.2; SC 2.4.3,Direct authority,PASS
KBDL-A11Y-006,SC 1.4.1,SC 1.4.1,Direct authority,PASS
KBDL-A11Y-007,SC 1.4.3,SC 1.4.3,Direct authority,PASS
KBDL-A11Y-008,GENERIC ONLY,"1.3.1; 1.3.2; 1.3.4; 1.3.5; 1.4.1; 1.4.3; 1.4.4; 1.4.5; 2.1.1; 2.1.2; 2.1.4; 2.2.1; 2.2.2; 2.3.1; 2.4.1; 2.4.2; 2.4.3; 2.4.4; 2.4.6; 2.4.7; 2.5.1; 2.5.2; 2.5.3; 2.5.4; 2.5.7; 2.5.8; 3.1.1; 3.2.1; 3.2.2; 3.2.6; 3.3.1; 3.3.2; 3.3.3; 3.3.4; 3.3.7; 3.3.8; 4.1.2; 4.1.3; SC
    2.1.4; SC
    2.5.3; SC
3.3.2; SC 1.1.1; SC 1.3.1; SC 1.3.2; SC 1.3.4; SC 1.3.5; SC 1.4.1; SC 1.4.3; SC 1.4.4; SC 1.4.5; SC 2.1.1; SC 2.1.2; SC 2.1.4; SC 2.2.1; SC 2.2.2; SC 2.3.1; SC 2.4.1; SC 2.4.2; SC 2.4.3; SC 2.4.4; SC 2.4.6; SC 2.4.7; SC 2.5.1; SC 2.5.2; SC 2.5.3; SC 2.5.4; SC 2.5.7; SC 2.5.8; SC 3.1.1; SC 3.2.1; SC 3.2.2; SC 3.2.6; SC 3.3.1; SC 3.3.2; SC 3.3.3; SC 3.3.4; SC 3.3.7; SC 3.3.8; SC 4.1.2; SC 4.1.3",Direct authority,PASS
KBDL-A11Y-009,SC 2.4.7,SC 2.4.7,Direct authority,PASS
KBDL-A11Y-010,GENERIC ONLY,"1.3.1; 1.3.2; 1.3.4; 1.3.5; 1.4.1; 1.4.3; 1.4.4; 1.4.5; 2.1.1; 2.1.2; 2.1.4; 2.2.1; 2.2.2; 2.3.1; 2.4.1; 2.4.2; 2.4.3; 2.4.4; 2.4.6; 2.4.7; 2.5.1; 2.5.2; 2.5.3; 2.5.4; 2.5.7; 2.5.8; 3.1.1; 3.2.1; 3.2.2; 3.2.6; 3.3.1; 3.3.2; 3.3.3; 3.3.4; 3.3.7; 3.3.8; 4.1.2; 4.1.3; SC
    2.1.4; SC
    2.5.3; SC
3.3.2; SC 1.1.1; SC 1.3.1; SC 1.3.2; SC 1.3.4; SC 1.3.5; SC 1.4.1; SC 1.4.3; SC 1.4.4; SC 1.4.5; SC 2.1.1; SC 2.1.2; SC 2.1.4; SC 2.2.1; SC 2.2.2; SC 2.3.1; SC 2.4.1; SC 2.4.2; SC 2.4.3; SC 2.4.4; SC 2.4.6; SC 2.4.7; SC 2.5.1; SC 2.5.2; SC 2.5.3; SC 2.5.4; SC 2.5.7; SC 2.5.8; SC 3.1.1; SC 3.2.1; SC 3.2.2; SC 3.2.6; SC 3.3.1; SC 3.3.2; SC 3.3.3; SC 3.3.4; SC 3.3.7; SC 3.3.8; SC 4.1.2; SC 4.1.3",Direct authority,PASS
